centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
LEARNING VISION @ WORK PTE .LTD.,WP0330,"180,ANG MO KIO AVE 8,569830",569830,569830,180 ANG MO KIO AVENUE 8 NANYANG POLYTECHNIC (BLK N) SINGAPORE 569830,1.378221769,103.8499852
INNATE MONTESSORI @ CP PTE LTD,PT9232,"2,CORPORATION ROAD,#01-13,CORPORATION PLACE,618494",618494,618494,2 CORPORATION ROAD CORPORATION PLACE SINGAPORE 618494,1.32454068,103.72016590000001
MY WORLD PRESCHOOL LTD.,YM0153,"354,KANG CHING ROAD,#01-23,610354",610354,610354,354 KANG CHING ROAD HDB-TAMAN JURONG SINGAPORE 610354,1.339157885,103.7209314
RAFFLES KIDZ @ JURONG WEST PTE LTD,PT9486,"1,YUAN CHING ROAD,#02-01,SUPERBOWL JURONG,618640",618640,618640,1 YUAN CHING ROAD DBS JURONG SUPERBOWL SINGAPORE 618640,1.325911705,103.7245502
MY FIRST SKOOL,NT0518,"505,YUNG AN ROAD,618616",618616,618616,505 YUNG AN ROAD SINGAPORE 618616,1.335842925,103.7217483
GENESIS CHILD CARE (TJ) PTE LTD,PT9265,"153,YUNG HO ROAD,#01-41,610153",610153,610153,153 YUNG HO ROAD HDB-TAMAN JURONG SINGAPORE 610153,1.32748328,103.72104379999999
INITIUM ACADEMY PTE. LTD.,PT9219,"331,YIO CHU KANG ROAD,805960",805960,805960,331 YIO CHU KANG ROAD SINGAPORE 805960,1.387165276,103.8703917
RAFFLES KIDZ @ YIO CHU KANG PTE. LTD.,PT9004,"4,TAMARIND ROAD,SERENE PARK,806014",806014,806014,4 TAMARIND ROAD SERENE PARK SINGAPORE 806014,1.390201948,103.860066
SCHOOLHOUSE BY THE BAY,PT9362,"1,HILLVIEW RISE,#01-02,667970",667970,667970,1 HILLVIEW RISE HILLVIEW COMMUNITY CLUB SINGAPORE 667970,1.36196747,103.7643016
LITTLE WONDERS MONTESSORI CHILDCARE @ REMAJA PTE. LTD.,PT8950,"33,JALAN REMAJA,BAMBOO GROVE PARK,668693",668693,668693,33 JALAN REMAJA HILLVIEW GARDEN ESTATE SINGAPORE 668693,1.3583331969999999,103.75945259999999
SUNFLOWER PRESCHOOL @ MINDEF PTE. LTD.,PT9454,"307,Bukit Panjang Loop,Gombak Recreation Centre,669638",669638,669638,212 GOMBAK DRIVE CHERIE HEARTS @ GOMBAK PTE. LTD. SINGAPORE 669638,1.369213503,103.7603448
RAFFLES KIDZ @ BUKIT PANJANG PTE. LTD.,PT8731,"7A/ 9,GALISTAN AVENUE,669682",669682,669682,9 GALISTAN AVENUE SINGAPORE 669682,1.378403415,103.759751
MONTESSORI @ GRACELAND PTE LTD,PT4910,"7,PHOENIX WALK,668111",668111,668111,7 PHOENIX WALK PHOENIX HEIGHTS SINGAPORE 668111,1.376216902,103.7583073
LITTLE WONDERS MONTESSORI CHILDCARE @ HILLVIEW PTE. LTD.,PT8949,"2,HILLVIEW WAY,669173",669173,669173,2 HILLVIEW WAY HILLVIEW VILLAS SINGAPORE 669173,1.353743133,103.7593635
KINDERCAMPUS (S) PTE LTD,PT1090,"12,Sommerville Walk,359756",359756,359756,45 CHILTERN DRIVE BRADDELL HEIGHTS ESTATE SINGAPORE 359756,1.3490958769999999,103.86556209999999
Little Footprints Preschool Pte Ltd,PT9701,"976,JURONG WEST STREET 93,#01-381,640976",640976,640976,976 JURONG WEST STREET 93 HDB-JURONG WEST SINGAPORE 640976,1.340007305,103.6938047
NEW LIFE COMMUNITY SERVICES,RC1767,"580,WOODLANDS DRIVE 16,#01-582,730580",730580,730580,580 WOODLANDS DRIVE 16 HDB-WOODLANDS SINGAPORE 730580,1.430584405,103.7962761
TZU CHI GREAT LOVE PRESCHOOL,RC1759,"703,YISHUN AVENUE 5,#01-270,760703",760703,760703,703 YISHUN AVENUE 5 CHONG PANG GREEN SINGAPORE 760703,1.429584898,103.8288511
WAT PATTHAR EDUCARE CENTRE,RC1770,"664,WOODLANDS RING ROAD,#01-206,730664",730664,730664,664 WOODLANDS RING ROAD HDB-WOODLANDS SINGAPORE 730664,1.436198457,103.7977989
SAIL PLAYHOUSE PTE LTD,PT9476,"6,GAMBAS CRESCENT,NORDCOM TWO,757046",757046,757046,6 GAMBAS CRESCENT NORDCOM TWO SINGAPORE 757046,1.4425259819999998,103.817216
SUNFLOWER PRESCHOOL @ YISHUN PTE LTD,PT9411,"513,YISHUN STREET 51,#01-07,SARACA BREEZE @ YISHUN,760513",760513,760513,513 YISHUN STREET 51 SARACA BREEZE @ YISHUN SINGAPORE 760513,1.416004817,103.8442553
BUSY BEES SINGAPORE PTE LTD,PT9117,"327B,ANCHORVALE ROAD,#01-322,542327",542327,542327,327B ANCHORVALE ROAD ANCHORVALE HORIZON SINGAPORE 542327,1.395646924,103.8886333
AGAPE LITTLE UNI. @ UPPER SERANGOON PTE LTD,PT9392,"473D,UPPER SERANGOON CRESCENT,#01-353,HOUGANG PARKEDGE,538473",538473,538473,473D UPPER SERANGOON CRESCENT HOUGANG PARKEDGE SINGAPORE 538473,1.3766721030000002,103.9019547
ILHAM CHILD CARE (EAST) PTE LTD,PT9355,"1,UBI VIEW,#01-20,FOCUS ONE,408555",408555,408555,1 UBI VIEW FOCUS ONE SINGAPORE 408555,1.331735895,103.8969456
LEARNING SEEDS CHILD DEVELOPMENT CENTRE PTE.LTD.,PT5990,"3,BUKIT CHERMIN ROAD,109923",109923,109923,3 BUKIT CHERMIN ROAD PSA CLUB SINGAPORE 109923,1.26882604,103.8119162
TOTS N TOYS PTE LTD,PT9125,"16,BOON LAY WAY ,#01-40,TRADEHUB 21,609965",609965,609965,16 BOON LAY WAY TRADEHUB 21 SINGAPORE 609965,1.3282024959999998,103.75485440000001
SAFARI HOUSE PRESCHOOL JURONG,PT8814,"2,INTERNATIONAL BUSINESS PARK,#01-08,STRATEGY, THE,609930",609930,609930,2 INTERNATIONAL BUSINESS PARK THE STRATEGY SINGAPORE 609930,1.330096663,103.747156
LEARNING VISION @ WORK PTE. LTD.,PT8634,"3A,INTERNATIONAL BUSINESS PARK,#01-07,609935",609935,609935,3A INTERNATIONAL BUSINESS PARK ICON @ IBP SINGAPORE 609935,1.327608235,103.7492192
CREATIVE O PRESCHOOLERS' BAY,WP0310,"31,INTERNATIONAL BUSINESS PARK,#02-01,CREATIVE RESOURCE,609921",609921,609921,31 INTERNATIONAL BUSINESS PARK SINGAPORE 609921,1.329105404,103.7461733
ACE @ WORK EDUCARE PTE LTD,PT9426,"9,INTERNATIONAL BUSINESS PARK,MIWORLD,609915",609915,609915,9 INTERNATIONAL BUSINESS PARK MIWORLD SINGAPORE 609915,1.324827997,103.7502768
MINDCHAMPS PRESCHOOL @ TANGLIN PTE LTD,PT8607,"318,TANGLIN ROAD,#01-42,247979",247979,247979,318 TANGLIN ROAD BLK B (PHOENIX PARK OFFICE CAMPUS) SINGAPORE 247979,1.2986937790000002,103.8157796
BRIGHTON MONTESSORI CENTRES PTE LTD,PT9424,"456,RIVER VALLEY ROAD,#01-01,CRYSTAL COURT,248342",248342,248342,456 RIVER VALLEY ROAD CRYSTAL COURT SINGAPORE 248342,1.29414631,103.826988
MULBERRY LEARNING CENTRE CENTRAL PTE LTD,PT9383,"6A,SHENTON WAY,#03-01,068815",068815,068815,6A SHENTON WAY OUE DOWNTOWN SINGAPORE 068815,1.277966741,103.8490079
MINDCHAMPS CHINESE PRESCHOOL @ CECIL ST PTE LTD,PT9387,"105,CECIL STREET,#04-01,THE OCTAGON,069534",069534,069534,105 CECIL STREET THE OCTAGON SINGAPORE 069534,1.280544214,103.8491968
LEARNING VISION @ WORK PTE. LTD.,PT8516,"137,CECIL STREET,#3-01,HENGDA BUILDING,069537",069537,069537,137 CECIL STREET HENGDA BUILDING SINGAPORE 069537,1.279641418,103.8486011
E-BRIDGE PRE-SCHOOL PTE. LTD.,EB0003,"178A,RIVERVALE CRESCENT,#01-453,541178",541178,541178,178A RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 541178,1.3889732369999999,103.90965159999999
CARPE DIEM FIRST YEARS PTE. LTD.,PT8434,"129,PASIR RIS STREET 11,#01-325,510129",510129,510129,129 PASIR RIS STREET 11 HDB-PASIR RIS SINGAPORE 510129,1.3665186969999998,103.95562340000001
SUPERLAND PRE-SCHOOL (OUTRAM) PTE LTD,PT9124,"240,OUTRAM ROAD,169043",169043,169043,240 OUTRAM ROAD SINGAPORE 169043,1.284854973,103.8353333
JUST KIDS @ ST GEORGE'S PTE LTD,PT9483,"84,ST. FRANCIS ROAD,328069",328069,328069,84 SAINT FRANCIS ROAD CANAAN CENTRE SINGAPORE 328069,1.323994435,103.8635468
CARPE DIEM YOUNG JOY PTE. LTD.,PT8761,"445,FAJAR ROAD,#02-544,670445",670445,670445,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,1.3835802030000002,103.7707748
MY FIRST SKOOL,NT0450,"308C,ANCHORVALE ROAD,#01-26,543308",543308,543308,308C ANCHORVALE ROAD ANCHORVALE PLACE SINGAPORE 543308,1.389227472,103.8868447
