school_name,address,postal_code,mainlevel_code,postal,latitude,longtitude
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277,569277,SECONDARY,569277,1.3673474209999998,103.85193609999999
PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET PING YI SECONDARY SCHOOL SINGAPORE 468980,468980,SECONDARY,468980,1.327140285,103.9208358
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4 PEICAI SECONDARY SCHOOL SINGAPORE 556094,556094,SECONDARY,556094,1.3592732490000001,103.8704923
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21 PASIR RIS SECONDARY SCHOOL SINGAPORE 529400,529400,SECONDARY,529400,1.354639566,103.9486147
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807,579807,SECONDARY,579807,1.344673253,103.8505502
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81 RIVERSIDE SECONDARY SCHOOL SINGAPORE 738524,738524,SECONDARY,738524,1.441077949,103.7883135
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3 ZHONGHUA SECONDARY SCHOOL SINGAPORE 556123,556123,SECONDARY,556123,1.3490973609999999,103.8698
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34 SWISS COTTAGE SECONDARY SCHOOL SINGAPORE 659322,659322,SECONDARY,659322,1.3643339069999998,103.75067370000001
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25 YUSOF ISHAK SECONDARY SCHOOL SINGAPORE 658712,658712,SECONDARY,658712,1.3423337780000002,103.7600131
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI STREET 3 CHANGKAT CHANGI SECONDARY SCHOOL SINGAPORE 529894,529894,SECONDARY,529894,1.34036114,103.9527251
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT TECK WHYE SECONDARY SCHOOL SINGAPORE 688848,688848,SECONDARY,688848,1.383348181,103.7551824
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2 DUNEARN SECONDARY SCHOOL SINGAPORE 659204,659204,SECONDARY,659204,1.363638093,103.7450033
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD NEW TOWN SECONDARY SCHOOL SINGAPORE 139657,139657,SECONDARY,139657,1.309986316,103.77324899999999
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800,148800,SECONDARY,148800,1.2935332940000002,103.8131755
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1 SERANGOON GARDEN SECONDARY SCHOOL SINGAPORE 555889,555889,SECONDARY,555889,1.3698904840000001,103.8691497
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD TANGLIN SECONDARY SCHOOL SINGAPORE 127391,127391,SECONDARY,127391,1.3097734779999999,103.75821540000001
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD TANJONG KATONG SECONDARY SCHOOL SINGAPORE 438796,438796,SECONDARY,438796,1.3085833740000001,103.89733009999999
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD WOODLANDS RING SECONDARY SCHOOL SINGAPORE 738239,738239,SECONDARY,738239,1.4361136780000001,103.80052049999999
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81 ORCHID PARK SECONDARY SCHOOL SINGAPORE 768454,768454,SECONDARY,768454,1.4148881869999999,103.8383349
